0,1,2,3,4,5,6,7
5.5556e-06,0.1,1e+08,1,0.1,0,0,0.00013723
6.6667e-06,0.1,1e+08,1,0.1,0,0,0.00013711
7.7778e-06,0.1,1e+08,1,0.1,0,0,0.00013699
8.8889e-06,0.1,1e+08,1,0.1,0,0,0.00013244
1e-05,0.1,1e+08,1,0.1,0,0,0.00013276
1e-10,0,1.1111e+15,1,0.1,0,0.00044493,0.00072464
1.1112e-06,0,1.1111e+15,1,0.1,0,0.0004426,0.00072431
2.2223e-06,0,1.1111e+15,1,0.1,0,0.00044016,0.00072399
3.3334e-06,0,1.1111e+15,1,0.1,0,0.00043799,0.00072368
4.4445e-06,0,1.1111e+15,1,0.1,0,0.00043595,0.00072337
5.5556e-06,0,1.1111e+15,1,0.1,0,0.00043378,0.00072306
6.6667e-06,0,1.1111e+15,1,0.1,0,0.0004318,0.00072275
7.7778e-06,0,1.1111e+15,1,0.1,0,0.00042984,0.00072244
8.8889e-06,0,1.1111e+15,1,0.1,0,0.00042813,0.00072214
1e-05,0,1.1111e+15,1,0.1,0,0.00042618,0.00072183
1e-10,0.033333,1.1111e+15,1,0.1,0,6.4663e-05,0.00022661
1.1112e-06,0.033333,1.1111e+15,1,0.1,0,6.4235e-05,0.00022639
2.2223e-06,0.033333,1.1111e+15,1,0.1,0,6.3821e-05,0.00022618
3.3334e-06,0.033333,1.1111e+15,1,0.1,0,6.3343e-05,0.00022597
4.4445e-06,0.033333,1.1111e+15,1,0.1,0,6.2981e-05,0.00022575
5.5556e-06,0.033333,1.1111e+15,1,0.1,0,6.247e-05,0.00022555
6.6667e-06,0.033333,1.1111e+15,1,0.1,0,6.2143e-05,0.00022534
7.7778e-06,0.033333,1.1111e+15,1,0.1,0,6.1697e-05,0.00022513
8.8889e-06,0.033333,1.1111e+15,1,0.1,0,6.1222e-05,0.00022493
1e-05,0.033333,1.1111e+15,1,0.1,0,6.0823e-05,0.00022472
1e-10,0.066667,1.1111e+15,1,0.1,0,1.1508e-06,2.7534e-05
1.1112e-06,0.066667,1.1111e+15,1,0.1,0,1.1181e-06,2.7372e-05
2.2223e-06,0.066667,1.1111e+15,1,0.1,0,1.0824e-06,2.7211e-05
3.3334e-06,0.066667,1.1111e+15,1,0.1,0,1.0496e-06,2.705e-05
4.4445e-06,0.066667,1.1111e+15,1,0.1,0,1.0265e-06,2.6889e-05
5.5556e-06,0.066667,1.1111e+15,1,0.1,0,1.024e-06,2.6729e-05
6.6667e-06,0.066667,1.1111e+15,1,0.1,0,9.7222e-07,2.6569e-05
7.7778e-06,0.066667,1.1111e+15,1,0.1,0,9.4547e-07,2.6411e-05
8.8889e-06,0.066667,1.1111e+15,1,0.1,0,9.2062e-07,2.6252e-05
1e-05,0.066667,1.1111e+15,1,0.1,0,8.9537e-07,2.6094e-05
1e-10,0.1,1.1111e+15,1,0.1,0,0,0
1.1112e-06,0.1,1.1111e+15,1,0.1,0,0,0
2.2223e-06,0.1,1.1111e+15,1,0.1,0,0,0
3.3334e-06,0.1,1.1111e+15,1,0.1,0,0,0
4.4445e-06,0.1,1.1111e+15,1,0.1,0,0,0
5.5556e-06,0.1,1.1111e+15,1,0.1,0,0,0
6.6667e-06,0.1,1.1111e+15,1,0.1,0,0,0
7.7778e-06,0.1,1.1111e+15,1,0.1,0,0,0
8.8889e-06,0.1,1.1111e+15,1,0.1,0,0,0
1e-05,0.1,1.1111e+15,1,0.1,0,0,0
1e-10,0,2.2222e+15,1,0.1,0,0.0004466,0.00072468
1.1112e-06,0,2.2222e+15,1,0.1,0,0.00044391,0.00072436
2.2223e-06,0,2.2222e+15,1,0.1,0,0.00044208,0.00072405
3.3334e-06,0,2.2222e+15,1,0.1,0,0.00043981,0.00072374
4.4445e-06,0,2.2222e+15,1,0.1,0,0.0004378,0.00072343
5.5556e-06,0,2.2222e+15,1,0.1,0,0.00043588,0.00072313
