,0,1,2,3,4,5,6
28,8.8889e-06,0.06666699999999999,100000000.0,1.0,0.1,0.0,1.0
29,1e-05,0.06666699999999999,100000000.0,1.0,0.1,0.0,1.0
30,1e-10,0.1,100000000.0,1.0,0.1,0.0,1.0
31,1.1112e-06,0.1,100000000.0,1.0,0.1,0.0,1.0
32,2.2223e-06,0.1,100000000.0,1.0,0.1,0.0,1.0
33,3.3333999999999997e-06,0.1,100000000.0,1.0,0.1,0.0,1.0
34,4.4444999999999995e-06,0.1,100000000.0,1.0,0.1,0.0,1.0
35,5.5556e-06,0.1,100000000.0,1.0,0.1,0.0,1.0
36,6.666699999999999e-06,0.1,100000000.0,1.0,0.1,0.0,1.0
37,7.7778e-06,0.1,100000000.0,1.0,0.1,0.0,1.0
38,8.8889e-06,0.1,100000000.0,1.0,0.1,0.0,1.0
39,1e-05,0.1,100000000.0,1.0,0.1,0.0,1.0
40,1e-10,0.0,1111100000000000.0,1.0,0.1,0.0,1.0
41,1.1112e-06,0.0,1111100000000000.0,1.0,0.1,0.0,1.0
42,2.2223e-06,0.0,1111100000000000.0,1.0,0.1,0.0,1.0
43,3.3333999999999997e-06,0.0,1111100000000000.0,1.0,0.1,0.0,1.0
44,4.4444999999999995e-06,0.0,1111100000000000.0,1.0,0.1,0.0,1.0
45,5.5556e-06,0.0,1111100000000000.0,1.0,0.1,0.0,1.0
46,6.666699999999999e-06,0.0,1111100000000000.0,1.0,0.1,0.0,1.0
47,7.7778e-06,0.0,1111100000000000.0,1.0,0.1,0.0,1.0
48,8.8889e-06,0.0,1111100000000000.0,1.0,0.1,0.0,1.0
49,1e-05,0.0,1111100000000000.0,1.0,0.1,0.0,1.0
50,1e-10,0.033333,1111100000000000.0,1.0,0.1,0.0,1.0
51,1.1112e-06,0.033333,1111100000000000.0,1.0,0.1,0.0,1.0
52,2.2223e-06,0.033333,1111100000000000.0,1.0,0.1,0.0,1.0
53,3.3333999999999997e-06,0.033333,1111100000000000.0,1.0,0.1,0.0,1.0
54,4.4444999999999995e-06,0.033333,1111100000000000.0,1.0,0.1,0.0,1.0
55,5.5556e-06,0.033333,1111100000000000.0,1.0,0.1,0.0,1.0
56,6.666699999999999e-06,0.033333,1111100000000000.0,1.0,0.1,0.0,1.0
57,7.7778e-06,0.033333,1111100000000000.0,1.0,0.1,0.0,1.0
58,8.8889e-06,0.033333,1111100000000000.0,1.0,0.1,0.0,1.0
59,1e-05,0.033333,1111100000000000.0,1.0,0.1,0.0,1.0
60,1e-10,0.06666699999999999,1111100000000000.0,1.0,0.1,0.0,1.0
61,1.1112e-06,0.06666699999999999,1111100000000000.0,1.0,0.1,0.0,1.0
